"location","date","total_cases","new_cases"
"Dominican Republic",2020-03-01,1,1
"Dominican Republic",2020-03-02,1,0
"Dominican Republic",2020-03-03,1,0
"Dominican Republic",2020-03-04,1,0
"Dominican Republic",2020-03-05,1,0
"Dominican Republic",2020-03-06,2,1
"Dominican Republic",2020-03-07,2,0
"Dominican Republic",2020-03-08,5,3
"Dominican Republic",2020-03-09,5,0
"Dominican Republic",2020-03-10,5,0
"Dominican Republic",2020-03-11,5,0
"Dominican Republic",2020-03-12,5,0
"Dominican Republic",2020-03-13,5,0
"Dominican Republic",2020-03-14,11,6
"Dominican Republic",2020-03-15,11,0
"Dominican Republic",2020-03-16,11,0
"Dominican Republic",2020-03-17,21,10
"Dominican Republic",2020-03-18,21,0
"Dominican Republic",2020-03-19,34,13
"Dominican Republic",2020-03-20,72,38
"Dominican Republic",2020-03-21,112,40
"Dominican Republic",2020-03-22,202,90
"Dominican Republic",2020-03-23,245,43
"Dominican Republic",2020-03-24,312,67
"Dominican Republic",2020-03-25,392,80
"Dominican Republic",2020-03-26,488,96
"Dominican Republic",2020-03-27,581,93
"Dominican Republic",2020-03-28,719,138
"Dominican Republic",2020-03-29,859,140
"Dominican Republic",2020-03-30,901,42
"Dominican Republic",2020-03-31,1109,208
"Dominican Republic",2020-04-01,1284,175
"Dominican Republic",2020-04-02,1380,96
"Dominican Republic",2020-04-03,1488,108
"Dominican Republic",2020-04-04,1488,0
"Dominican Republic",2020-04-05,1745,257
"Dominican Republic",2020-04-06,1828,83
"Dominican Republic",2020-04-07,1956,128
"Dominican Republic",2020-04-08,2111,155
"Dominican Republic",2020-04-09,2349,238
"Dominican Republic",2020-04-10,2620,271
"Dominican Republic",2020-04-11,2759,139
"Dominican Republic",2020-04-12,2967,208
"Dominican Republic",2020-04-13,3167,200
"Dominican Republic",2020-04-14,3286,119
"Dominican Republic",2020-04-15,3614,328
"Dominican Republic",2020-04-16,3755,141
"Dominican Republic",2020-04-17,4126,371
"Dominican Republic",2020-04-18,4335,209
"Dominican Republic",2020-04-19,4680,345
"Dominican Republic",2020-04-20,4964,284
"Dominican Republic",2020-04-21,5044,80
"Dominican Republic",2020-04-22,5300,256
"Dominican Republic",2020-04-23,5543,243
"Dominican Republic",2020-04-24,5749,206
"Dominican Republic",2020-04-25,5926,177
"Dominican Republic",2020-04-26,6135,209
"Dominican Republic",2020-04-27,6293,158
"Dominican Republic",2020-04-28,6416,123
"Dominican Republic",2020-04-29,6652,236
"Dominican Republic",2020-04-30,6972,320
"Dominican Republic",2020-05-01,7288,316
"Dominican Republic",2020-05-02,7578,290
"Dominican Republic",2020-05-03,7954,376
"Dominican Republic",2020-05-04,8235,281
"Dominican Republic",2020-05-05,8480,245
"Dominican Republic",2020-05-06,8807,327
"Dominican Republic",2020-05-07,9095,288
"Dominican Republic",2020-05-08,9376,281
"Dominican Republic",2020-05-09,9882,506
"Dominican Republic",2020-05-10,10347,465
"Dominican Republic",2020-05-11,10634,287
"Dominican Republic",2020-05-12,10900,266
"Dominican Republic",2020-05-13,11196,296
"Dominican Republic",2020-05-14,11320,124
"Dominican Republic",2020-05-15,11739,419
"Dominican Republic",2020-05-16,12110,371
"Dominican Republic",2020-05-17,12314,204
"Dominican Republic",2020-05-18,12725,411
"Dominican Republic",2020-05-19,13223,498
"Dominican Republic",2020-05-20,13477,254
"Dominican Republic",2020-05-21,13657,180
"Dominican Republic",2020-05-22,13989,332
"Dominican Republic",2020-05-23,14422,433
"Dominican Republic",2020-05-24,14801,379
"Dominican Republic",2020-05-25,15073,272
"Dominican Republic",2020-05-26,15264,191
"Dominican Republic",2020-05-27,15723,459
"Dominican Republic",2020-05-28,16068,345
"Dominican Republic",2020-05-29,16531,463
"Dominican Republic",2020-05-30,16908,377
"Dominican Republic",2020-05-31,17285,377
"Dominican Republic",2020-06-01,17572,287
"Dominican Republic",2020-06-02,17752,180
"Dominican Republic",2020-06-03,18040,288
"Dominican Republic",2020-06-04,18319,279
"Dominican Republic",2020-06-05,18708,389
"Dominican Republic",2020-06-06,19195,487
"Dominican Republic",2020-06-07,19600,405
"Dominican Republic",2020-06-08,20126,526
"Dominican Republic",2020-06-09,20415,289
"Dominican Republic",2020-06-10,20808,393
"Dominican Republic",2020-06-11,21437,629
"Dominican Republic",2020-06-12,22008,571
"Dominican Republic",2020-06-13,22572,564
"Dominican Republic",2020-06-14,22962,390
"Dominican Republic",2020-06-15,23271,309
"Dominican Republic",2020-06-16,23686,415
"Dominican Republic",2020-06-17,24105,419
"Dominican Republic",2020-06-18,24645,540
"Dominican Republic",2020-06-19,25068,423
