strain	virus	date	region	country
Argentina/INEI097370/2020	ncov	2020-11-25	South America	Argentina
Argentina/PAIS-A0382/2020	ncov	2020-08-31	South America	Argentina
Argentina/PAIS-G0082/2020	ncov	2020-07-24	South America	Argentina
Argentina/INEI096753/2020	ncov	2020-11-12	South America	Argentina
Argentina/PAIS-C0049/2020	ncov	2020-12-07	South America	Argentina
Argentina/PAIS-A0742/2020	ncov	2020-09-01	South America	Argentina
Argentina/PAIS-E0331/2021	ncov	2021-01-13	South America	Argentina
Argentina/PAIS-G0210/2021	ncov	2021-02-04	South America	Argentina
Aruba/AW-RIVM-11770/2021	ncov	2021-02-01	South America	Aruba
Aruba/AW-RIVM-11430/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-11383/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-14903/2021	ncov	2021-02-16	South America	Aruba
Aruba/AW-RIVM-11545/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-13180/2021	ncov	2021-02-10	South America	Aruba
Aruba/AW-RIVM-10793/2021	ncov	2021-01-20	South America	Aruba
Aruba/AW-RIVM-11403/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-13174/2021	ncov	2021-02-10	South America	Aruba
Aruba/AW-RIVM-10750/2021	ncov	2021-01-20	South America	Aruba
Aruba/AW-RIVM-13713/2021	ncov	2021-02-12	South America	Aruba
Aruba/AW-RIVM-10756/2021	ncov	2021-01-20	South America	Aruba
Aruba/AW-RIVM-14439/2021	ncov	2021-02-19	South America	Aruba
Aruba/AW-RIVM-14441/2021	ncov	2021-02-19	South America	Aruba
Aruba/AW-RIVM-14433/2021	ncov	2021-02-19	South America	Aruba
Aruba/AW-RIVM-14871/2021	ncov	2021-02-15	South America	Aruba
Aruba/AW-RIVM-14435/2021	ncov	2021-02-19	South America	Aruba
Aruba/AW-RIVM-11553/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-12797/2021	ncov	2021-02-08	South America	Aruba
Aruba/AW-RIVM-10748/2021	ncov	2021-01-20	South America	Aruba
Aruba/AW-RIVM-11395/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-10777/2021	ncov	2021-01-20	South America	Aruba
Aruba/AW-RIVM-11599/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-13772/2021	ncov	2021-02-12	South America	Aruba
Aruba/AW-RIVM-13675/2021	ncov	2021-02-12	South America	Aruba
Aruba/AW-RIVM-14438/2021	ncov	2021-02-19	South America	Aruba
Aruba/AW-RIVM-10524/2021	ncov	2021-01-13	South America	Aruba
Aruba/AW-RIVM-11771/2021	ncov	2021-02-01	South America	Aruba
Aruba/AW-RIVM-11557/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-11387/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-14506/2021	ncov	2021-02-19	South America	Aruba
Aruba/AW-RIVM-11741/2021	ncov	2021-02-01	South America	Aruba
Aruba/AW-RIVM-11759/2021	ncov	2021-02-01	South America	Aruba
Aruba/AW-RIVM-13695/2021	ncov	2021-02-12	South America	Aruba
Aruba/AW-RIVM-13701/2021	ncov	2021-02-12	South America	Aruba
Aruba/AW-RIVM-14849/2021	ncov	2021-02-15	South America	Aruba
Aruba/AW-RIVM-11762/2021	ncov	2021-02-01	South America	Aruba
Aruba/AW-RIVM-13729/2021	ncov	2021-02-12	South America	Aruba
Aruba/AW-RIVM-11767/2021	ncov	2021-02-01	South America	Aruba
Aruba/AW-RIVM-11591/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-11742/2021	ncov	2021-02-01	South America	Aruba
Aruba/AW-RIVM-11552/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-11547/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-11424/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-11423/2021	ncov	2021-01-28	South America	Aruba
Aruba/AW-RIVM-16736/2021	ncov	2021-03-01	South America	Aruba
Aruba/AW-RIVM-15884/2021	ncov	2021-02-23	South America	Aruba
Aruba/AW-RIVM-19144/2021	ncov	2021-03-10	South America	Aruba
Aruba/AW-RIVM-16034/2021	ncov	2021-02-27	South America	Aruba
Aruba/AW-RIVM-16040/2021	ncov	2021-02-25	South America	Aruba
Aruba/AW-RIVM-16075/2021	ncov	2021-02-27	South America	Aruba
Aruba/AW-RIVM-16023/2021	ncov	2021-02-26	South America	Aruba
