strain	virus	date	region	country	gisaid_epi_isl
DR0002	ncov	2020-07-29	Caribbean	Dominican Republic	NA
DR0003	ncov	2020-07-29	Caribbean	Dominican Republic	NA
DR0004	ncov	2020-07-29	Caribbean	Dominican Republic	NA
DR0005	ncov	2020-07-29	Caribbean	Dominican Republic	NA
DR0006	ncov	2020-07-29	Caribbean	Dominican Republic	NA
DR0007	ncov	2020-08-03	Caribbean	Dominican Republic	NA
DR0008	ncov	2020-08-03	Caribbean	Dominican Republic	NA
DR0009	ncov	2020-08-03	Caribbean	Dominican Republic	NA
DR0010	ncov	2020-08-03	Caribbean	Dominican Republic	NA
DR0011	ncov	2020-08-03	Caribbean	Dominican Republic	NA
DR0012	ncov	2020-08-03	Caribbean	Dominican Republic	NA
DR0013	ncov	2020-08-03	Caribbean	Dominican Republic	NA
DR0014	ncov	2020-08-03	Caribbean	Dominican Republic	NA
DR0015	ncov	2020-08-03	Caribbean	Dominican Republic	NA
DR0016	ncov	2020-08-03	Caribbean	Dominican Republic	NA
DR0017	ncov	2020-08-03	Caribbean	Dominican Republic	NA
DR0018	ncov	2020-08-03	Caribbean	Dominican Republic	NA
DR0019	ncov	2020-08-03	Caribbean	Dominican Republic	NA
DR0020	ncov	2020-08-04	Caribbean	Dominican Republic	NA
DR0021	ncov	2020-08-04	Caribbean	Dominican Republic	NA
DR0022	ncov	2020-08-04	Caribbean	Dominican Republic	NA
DR0023	ncov	2020-08-04	Caribbean	Dominican Republic	NA
DR0024	ncov	2020-08-04	Caribbean	Dominican Republic	NA
DR0025	ncov	2020-08-06	Caribbean	Dominican Republic	NA
DR0026	ncov	2020-08-07	Caribbean	Dominican Republic	NA
DR0027	ncov	2020-08-07	Caribbean	Dominican Republic	NA
DR0028	ncov	2020-08-08	Caribbean	Dominican Republic	NA
DR0029	ncov	2020-08-08	Caribbean	Dominican Republic	NA
DR0030	ncov	2020-08-08	Caribbean	Dominican Republic	NA
DR0031	ncov	2020-08-08	Caribbean	Dominican Republic	NA
DR0032	ncov	2020-08-08	Caribbean	Dominican Republic	NA
DR0033	ncov	2020-08-08	Caribbean	Dominican Republic	NA
DR0034	ncov	2020-08-08	Caribbean	Dominican Republic	NA
DR0035	ncov	2020-08-08	Caribbean	Dominican Republic	NA
DR0036	ncov	2020-08-08	Caribbean	Dominican Republic	NA
DR0037	ncov	2020-08-08	Caribbean	Dominican Republic	NA
DR0038	ncov	2020-08-08	Caribbean	Dominican Republic	NA
DR0039	ncov	2020-09-03	Caribbean	Dominican Republic	NA
DR0040	ncov	2020-09-03	Caribbean	Dominican Republic	NA
DR0041	ncov	2020-09-03	Caribbean	Dominican Republic	NA
DR0042	ncov	2020-09-04	Caribbean	Dominican Republic	NA
DR0043	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0044	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0045	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0046	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0047	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0048	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0049	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0050	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0051	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0052	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0053	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0054	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0055	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0056	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0057	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0058	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0059	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0060	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0061	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0062	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0063	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0064	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0065	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0066	ncov	2020-09-10	Caribbean	Dominican Republic	NA
DR0067	ncov	2020-09-14	Caribbean	Dominican Republic	NA
DR0068	ncov	2020-09-14	Caribbean	Dominican Republic	NA
DR0069	ncov	2020-09-14	Caribbean	Dominican Republic	NA
