strain	virus	gisaid_epi_isl	date	region	country	division	pangolin_lineage
Wuhan/WH01/2019	betacoronavirus	EPI_ISL_406798	2019-12-26	Asia	China	Hubei	B
Wuhan/Hu-1/2019	betacoronavirus	EPI_ISL_402125	2019-12-26	Asia	China	Hubei	B
DR0311	betacoronavirus	NA	2021-02-16	Caribbean	Dominican Republic	DISTRITO NAC	A.2
DR0303	betacoronavirus	NA	2021-02-15	Caribbean	Dominican Republic	DISTRITO NAC	A.2.5
hCoV-19/England/ALDP-10E5192/2021	betacoronavirus	EPI_ISL_907966	2021-01-19	Europe	United Kingdom	England	A.23.1
hCoV-19/Canada/NB-NML-16181/2021	betacoronavirus	EPI_ISL_1164966	2021-01-29	North America	Canada	New Brunswick	A.23.1
hCoV-19/England/ALDP-10E389F/2021	betacoronavirus	EPI_ISL_908567	2021-01-19	Europe	United Kingdom	England	A.23.1
hCoV-19/France/un-UPEC-21012260469/2021	betacoronavirus	EPI_ISL_982320	2021-01-25	Europe	France	NA	A.21
hCoV-19/USA/WA-S4526/2021	betacoronavirus	EPI_ISL_1015869	2021-01-20	North America	USA	Washington	A.2.5
hCoV-19/CanaryIslands/CN-IBV-97016096/2021	betacoronavirus	EPI_ISL_962939	2021-01-11	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/USA/GA-EHC-425K/2021	betacoronavirus	EPI_ISL_845772	2021-01-06	North America	USA	Georgia	A.21
hCoV-19/USA/MA-CDC-LC0024969/2021	betacoronavirus	EPI_ISL_1338472	2021-03-08	North America	USA	Massachusetts	A.23.1
hCoV-19/England/QEUH-1171789/2021	betacoronavirus	EPI_ISL_947183	2021-01-25	Europe	United Kingdom	England	A.23.1
hCoV-19/USA/NJ-CDC-LC0009341/2021	betacoronavirus	EPI_ISL_1030664	2021-01-22	North America	USA	New Jersey	A.2.5
hCoV-19/Rwanda/NRLNAT3033/2021	betacoronavirus	EPI_ISL_1301784	2021-01-22	Africa	Rwanda	Kigali	A.23.1
hCoV-19/USA/NY-Wadsworth-21010910-01/2021	betacoronavirus	EPI_ISL_1226674	2021-01-11	North America	USA	New York	A.2.5.2
hCoV-19/USA/MD-HP02141/2021	betacoronavirus	EPI_ISL_981074	2021-02-02	North America	USA	Maryland	A.2.5
hCoV-19/Wales/PHWC-4B4201/2021	betacoronavirus	EPI_ISL_841075	2021-01-06	Europe	United Kingdom	Wales	A.23.1
hCoV-19/France/HDF-IPP03239/2021	betacoronavirus	EPI_ISL_1036395	2021-02-04	Europe	France	Hauts-de-France	A.28
hCoV-19/USA/KY-CDC-LC0012326/2021	betacoronavirus	EPI_ISL_1038163	2021-02-02	North America	USA	Kentucky	A.21
hCoV-19/Rwanda/NRLNAT3031/2021	betacoronavirus	EPI_ISL_1302676	2021-01-15	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Italy/CAM-AMES-12-49/2021	betacoronavirus	EPI_ISL_1096878	2021-02-19	Europe	Italy	Campania	A.2.5.2
hCoV-19/Italy/CAM-AMES-45-38/2021	betacoronavirus	EPI_ISL_1298778	2021-03-07	Europe	Italy	Campania	A.2.5.2
hCoV-19/USA/FL-BPHL-0688/2021	betacoronavirus	EPI_ISL_1132278	2021-02-13	North America	USA	Florida	A.2.5.2
hCoV-19/France/ARA-HCL021040969801/2021	betacoronavirus	EPI_ISL_1253578	2021-02-23	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/USA/GA-CDC-QDX22549986/2021	betacoronavirus	EPI_ISL_1290979	2021-03-01	North America	USA	Georgia	A.21
hCoV-19/England/TFCI-270645C/2021	betacoronavirus	EPI_ISL_1054818	2021-01-23	Europe	United Kingdom	England	A.23.1
hCoV-19/Ireland/LH-NVRL-21IRL35683/2021	betacoronavirus	EPI_ISL_1055118	2021-01-10	Europe	Ireland	Louth	A
hCoV-19/Rwanda/NRLNAT3027/2021	betacoronavirus	EPI_ISL_1301780	2021-01-21	Africa	Rwanda	Kigali	A.23.1
hCoV-19/France/HDF-IPP03612/2021	betacoronavirus	EPI_ISL_1060424	2021-02-09	Europe	France	Hauts-de-France	A.28
hCoV-19/France/HDF-IPP03400/2021	betacoronavirus	EPI_ISL_1060408	2021-02-08	Europe	France	Hauts-de-France	A.28
hCoV-19/Slovenia/73053/2021	betacoronavirus	EPI_ISL_1181852	2021-02-10	Europe	Slovenia	NA	A.27
hCoV-19/England/ALDP-120369D/2021	betacoronavirus	EPI_ISL_988881	2021-02-02	Europe	United Kingdom	England	A.23.1
hCoV-19/USA/FL-BPHL-0695/2021	betacoronavirus	EPI_ISL_1132181	2021-02-13	North America	USA	Florida	A.2.5
hCoV-19/Italy/CAM-AMES-9-77/2021	betacoronavirus	EPI_ISL_1096935	2021-02-21	Europe	Italy	Campania	A.2.5.2
hCoV-19/USA/FL-BPHL-1392/2021	betacoronavirus	EPI_ISL_1238766	2021-02-01	North America	USA	Florida	A.2.5
hCoV-19/Belgium/rega-3104/2021	betacoronavirus	EPI_ISL_1064466	2021-02-09	Europe	Belgium	Bilzen	A.23.1
hCoV-19/Netherlands/NH-RIVM-11088/2021	betacoronavirus	EPI_ISL_943266	2021-01-09	Europe	Netherlands	Noord-Holland	A.23.1
